id, accNo, accHolderName, fdBondNumber, fdStartDate, fdMaturityDate, depositAmount, interestRate, matured
1,CY37018306731541531253737451,Quon Hodge,DE29412784585907885952,24-13-2021,08-44-2022,953320,10,false
2,AT675154241995897422,Ralph Spencer,HR3835188473475416087,11-03-2021,06-57-2022,972441,7,false
3,LU497143516854081362,Anne Montgomery,AZ64865756861622082126561515,04-21-2022,06-16-2022,383812,9,false
4,TR499164634736432378642458,Melvin Baxter,GE29974687893292411573,14-15-2021,08-22-2022,109340,3,false
5,LT420335481618748246,Bruce Guy,GE84638318174091057314,05-28-2022,10-41-2022,913805,2,false
6,PK5124562875594218564848,Phoebe Gates,AL72883852112735508240743190,10-09-2021,10-20-2022,942898,4,false
7,GI20CDKL123107740656368,April Vaughn,GI37HBIR838501895646257,23-03-2021,09-37-2022,533220,9,false
8,SE7223940169444574828920,Darrel Salinas,KW6441189120343877466827640122,29-04-2021,09-58-2022,152787,9,false
9,IL865482124906273257807,Griffith Emerson,RS48518511864471320482,28-35-2021,02-33-2022,975273,2,false
10,DE80554958625154826156,Allistair Parsons,GI44SVYZ813042685225632,01-42-2021,04-38-2022,244377,5,false
11,AL37655725583163591038581139,Rama Jarvis,BH03302554470822223641,14-35-2021,03-36-2022,842929,1,false
12,IS189232771673463825241247,Cynthia House,DK3489748774146424,09-27-2021,06-46-2022,256784,7,false
13,GB17SVXK53505671866457,Paula James,MT22WXBG36558428522891753514121,06-30-2022,06-21-2022,208763,7,false
14,MD1239776776016669745384,Acton Rodgers,EE655373341561523575,19-34-2021,10-41-2022,422297,6,false
15,SE1567742780836683145882,Ignatius Erickson,TN1556636764351598174448,28-42-2022,09-42-2022,943591,6,false
16,NO6271842135572,Stephanie Dale,GE08524385432005237730,03-14-2021,04-59-2022,555698,5,false
17,GR2962833952285679961386264,Whilemina Johnston,IS089712974094692983428503,29-54-2021,09-42-2022,114384,8,false
18,NO2943115175565,Boris Church,SM4601140672939871203919083,11-52-2022,08-34-2022,444872,10,false
19,PL54421024722985074525745406,Bethany Schroeder,TR154652302576713048147180,23-53-2021,05-09-2022,510889,5,false
20,MU0430221247775823121591171622,Illiana Stevens,MU6121790368005551685563320975,13-30-2021,09-04-2022,682080,9,false
EOF - File Auto-generated on 2022-06-02
